production_id,machine_id,production_date,shift,anomaly,anomaly_score
1,1,2025-08-24,Morning,0,0.08444620219770793
2,1,2025-08-24,Afternoon,0,0.06977358649424165
3,1,2025-08-24,Night,0,0.09280173882497883
4,2,2025-08-24,Morning,0,0.0527896238570863
5,2,2025-08-24,Afternoon,0,0.03551926263561367
6,2,2025-08-24,Night,0,0.02651619468107158
7,3,2025-08-24,Morning,0,0.01103222462263409
8,3,2025-08-24,Afternoon,0,0.01939193798796135
9,3,2025-08-24,Night,0,0.031985338948622766
10,4,2025-08-24,Morning,0,0.018076535720380704
11,4,2025-08-24,Afternoon,0,0.004861383751266657
12,4,2025-08-24,Night,0,0.025529225631699237
13,5,2025-08-24,Morning,0,0.04644956304434844
14,5,2025-08-24,Afternoon,0,0.06065365334883899
15,5,2025-08-24,Night,0,0.0707181587723133
16,1,2025-08-25,Morning,0,0.05488639495643288
17,1,2025-08-25,Afternoon,0,0.08766435487168023
18,1,2025-08-25,Night,0,0.09141908954291839
19,2,2025-08-25,Morning,0,0.06340792252449107
20,2,2025-08-25,Afternoon,0,0.0449555098102975
21,2,2025-08-25,Night,0,0.09136144940086272
22,3,2025-08-25,Morning,0,0.049106890324681185
23,3,2025-08-25,Afternoon,0,0.020097471467162453
24,3,2025-08-25,Night,0,0.01520494032434272
25,4,2025-08-25,Morning,0,0.046560779567487054
26,4,2025-08-25,Afternoon,0,0.03081435242982844
27,4,2025-08-25,Night,0,0.04056832715561365
28,5,2025-08-25,Morning,0,0.09539671051963167
29,5,2025-08-25,Afternoon,0,0.10270384213577294
30,5,2025-08-25,Night,0,0.08676684199635198
31,1,2025-08-26,Morning,0,0.07127474258442107
32,1,2025-08-26,Afternoon,0,0.07900529250193239
33,1,2025-08-26,Night,0,0.052433459510533464
34,2,2025-08-26,Morning,0,0.08251533032197567
35,2,2025-08-26,Afternoon,0,0.0832083026688471
36,2,2025-08-26,Night,0,0.04747667235344011
37,3,2025-08-26,Morning,0,0.006201994583703074
38,3,2025-08-26,Afternoon,1,-0.00774796200991712
39,3,2025-08-26,Night,0,0.024797681498727853
